street_name,odd_on,avg_direction,building_num_range,start_end_coordinates,segment_length,segment_direction,building_num_range_length,avg_length_per_building,direction_deviation,road_type,offset_from_road_center
W 11th Street,right,118.62763602790511,"[159, 199]","[[40.736672, -74.000024], [40.735936, -73.99824]]",171.43139463935228,118.47353574353329,41,4.18125352778908,0.15410028437182177,Street,5
W 11th Street,right,78.77568512741425,"[200, 214]","[[40.736944, -74.001824], [40.737072, -74.000976]]",73.02620173220707,78.77568512741425,15,4.868413448813805,0.0,Street,5
W 11th Street,right,78.62208096447135,"[215, 253]","[[40.736704, -74.003392], [40.736944, -74.001824]]",135.1022011217779,78.62208096447135,39,3.4641590031225107,0.0,Street,5
W 11th Street,right,79.15639275497418,"[254, 267]","[[40.736352, -74.005808], [40.736464, -74.005104]]",60.75324282015289,78.18660043965436,14,4.3395173442966355,0.9697923153198076,Street,5
W 11th Street,right,79.15639275497418,"[268, 300]","[[40.736464, -74.005104], [40.736704, -74.003392]]",147.0467946460986,79.55706811929983,33,4.4559634741242,-0.4006753643256502,Street,5
W 11th Street,right,80.82846917087389,"[301, 314]","[[40.73624, -74.00672], [40.736352, -74.005808]]",78.0338434564175,80.82846917087389,14,5.573845961172679,0.0,Street,5
W 11th Street,right,79.47583231142022,"[315, 345]","[[40.736032, -74.008192], [40.73624, -74.00672]]",126.46681175772862,79.47583231142022,31,4.079574572829956,0.0,Street,5
W 11th Street,right,80.30105355204235,"[346, 375]","[[40.735824, -74.009792], [40.736032, -74.008192]]",137.1117191639541,80.30105355204235,30,4.57039063879847,0.0,Street,5
W 120th Street,right,118.77513105445692,"[1, 95]","[[40.805856, -73.95072], [40.80464, -73.947824]]",279.1993968493001,118.92362874067615,95,2.938941019466317,-0.14849768621922976,Street,5
W 120th Street,right,118.77513105445692,"[96, 148]","[[40.80464, -73.947824], [40.803968, -73.946208]]",155.44799557159251,118.68934767642307,53,2.9329810485206136,0.08578337803385239,Street,5
W 120th Street,right,118.77513105445692,"[149, 199]","[[40.803968, -73.946208], [40.803312, -73.944624]]",152.22763715837146,118.59037084414138,51,2.984855630556303,0.18476021031554524,Street,5
W 120th Street,right,119.14569588571169,"[200, 222]","[[40.807056, -73.953552], [40.8068, -73.952912]]",61.02917230961385,117.76334572159055,23,2.653442274331037,1.382350164121135,Street,5
W 120th Street,right,119.14569588571169,"[223, 299]","[[40.8068, -73.952912], [40.805856, -73.95072]]",212.60517955897924,119.54250506286051,77,2.7611062280386913,-0.3968091771488389,Street,5
W 120th Street,right,118.5280118231218,"[300, 501]","[[40.808272, -73.956496], [40.807664, -73.955008]]",142.55879563790342,118.26896958048494,202,0.7057366120688288,0.25904224263686615,Street,5
W 120th Street,right,118.5280118231218,"[502, 699]","[[40.807664, -73.955008], [40.807056, -73.953552]]",140.1875271520898,118.79143575875901,198,0.7080178138994435,-0.26342393563720634,Street,5
