DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
THE LARK'S NEST,Bronx,4280,KATONAH AVENUE,10470.0,40.897976551901,-73.867254392087
THE LONG ROOM,Manhattan,120,WEST   44 STREET,10036.0,40.756453675258996,-73.98395204156999
GRACE'S,Manhattan,252,WEST   14 STREET,10011.0,40.739162794682,-74.00116918217499
DORRIAN'S RED HAND RESTAURANT,Manhattan,1616,2 AVENUE,10028.0,40.776404966262,-73.952802065662
THE PARLOUR,Manhattan,250,WEST   86 STREET,10024.0,40.788483777016,-73.97694203766999
THE WICKED WOLF,Bronx,4029,EAST TREMONT AVENUE,10465.0,40.819584636257,-73.817545148322
GINGER'S BAR,Brooklyn,363,5 AVENUE,11215.0,40.671407085186,-73.984426802011
KILLARNEY ROSE,Manhattan,80,BEAVER STREET,10005.0,40.705338706862,-74.008692264913
CHASERS,Queens,6063,FLUSHING AVENUE,11378.0,40.720121922629,-73.905579522387
MAXWELL'S,Manhattan,59,READE STREET,10007.0,40.714901634235,-74.006413723204
MCHALE'S BAR & GRILL,Manhattan,251,WEST   51 STREET,10019.0,40.762470273154996,-73.98458592074199
STAUNTON'S BAR RESTAURANT,Queens,224-07,UNION TURNPIKE,11364.0,40.735830099679,-73.746303457837
CALEDONIA,Manhattan,1609,2 AVENUE,10028.0,40.776240340314004,-73.952946606974
PJ MORANS,Manhattan,3,EAST   48 STREET,10017.0,40.757147070156,-73.97777951755201
TIR NA NOG,Manhattan,254,WEST   31 STREET,10001.0,40.749727207972995,-73.99353238271699
O'REILLY'S PUB,Manhattan,54,WEST   31 STREET,10001.0,40.747605114774,-73.988512406491
MCHALE'S BAR & GRILL,Manhattan,251,WEST   51 STREET,10019.0,40.762470273154996,-73.98458592074199
PARNELL'S PUB,Manhattan,350,EAST   53 STREET,10022.0,40.756238401752,-73.965958657687
JACK DOYLES PUB & RESTAURANT,Manhattan,240,WEST   35 STREET,10001.0,40.752164413748005,-73.991377396662
THE GRAY MARE,Manhattan,61,2 AVENUE,10003.0,40.725913352319004,-73.989634598813
MCFADDEN'S,Manhattan,800,2 AVENUE,10017.0,40.750278379373995,-73.971851915755
MC ANN'S,Manhattan,625,8 AVENUE,10018.0,40.756185423077,-73.99056473378499
TWINS PUB,Manhattan,421,9 AVENUE,10001.0,40.753053988386995,-73.996556687381
MCFADDEN'S,Manhattan,800,2 AVENUE,10017.0,40.750278379373995,-73.971851915755
FOLEY'S N.Y. PUB AND RESTAURANT,Manhattan,18,WEST   33 STREET,10001.0,40.748112604262,-73.985899349317
MAXWELL'S,Manhattan,59,READE STREET,10007.0,40.714901634235,-74.006413723204
BUKOWSKI'S,Queens,6947,GRAND AVE,11378.0,40.726726697581,-73.893999550217
WOODHAVEN HOUSE,Queens,63-98,WOODHAVEN BOULEVARD,11374.0,40.721974865847,-73.867039907784
DORRIAN'S RED HAND RESTAURANT,Manhattan,1616,2 AVENUE,10028.0,40.776404966262,-73.952802065662
TRIONA'S BAR RESTAURANT,Manhattan,192,3 AVENUE,10003.0,40.735387854614004,-73.985663899313
SHAMROCK INN,Bronx,1729,CROSBY AVENUE,10461.0,40.845892424158,-73.831539981755
THE BEERKEEPER,Queens,5815,WOODSIDE AVE,11377.0,40.745596676227,-73.906283111238
THE WICKED WOLF,Bronx,4029,EAST TREMONT AVENUE,10465.0,40.819584636257,-73.817545148322
TIR NA NOG,Manhattan,254,WEST   31 STREET,10001.0,40.749727207972995,-73.99353238271699
PLAYWRIGHT CELTIC PUB,Manhattan,202,WEST   49 STREET,10019.0,40.760551605711,-73.983990757676
BLAGGARD'S PUB,Manhattan,8,WEST   38 STREET,10018.0,40.751208353675,-73.983354175874
WOODHAVEN HOUSE,Queens,63-98,WOODHAVEN BOULEVARD,11374.0,40.721974865847,-73.867039907784
GRACE'S,Manhattan,252,WEST   14 STREET,10011.0,40.739162794682,-74.00116918217499
THE IRISH AMERICAN,Manhattan,17,JOHN STREET,10038.0,40.709908729348996,-74.008948959948
SCALLYWAG'S IRISH PUB & REST,Manhattan,508,9 AVENUE,10018.0,40.756122539791,-73.994296975335
DORRIAN'S RED HAND RESTAURANT,Manhattan,1616,2 AVENUE,10028.0,40.776404966262,-73.952802065662
BLAGGARD'S PUB,Manhattan,8,WEST   38 STREET,10018.0,40.751208353675,-73.983354175874
5TH & MAD,Manhattan,7,EAST   36 STREET,10016.0,40.749506564548,-73.983098353126
MAXWELL'S,Manhattan,59,READE STREET,10007.0,40.714901634235,-74.006413723204
DUGOUT PUB,Queens,3976,61ST ST,11377.0,40.745341857831,-73.903508207683
THE CRAIC,Brooklyn,488,DRIGGS AVENUE,11211.0,40.718502303219,-73.954867015605
EMERALD INN,Manhattan,250,WEST   72 STREET,10023.0,40.779292699707,-73.983285745093
GRANDSTAND TAVERN,Queens,8535,GRAND AVENUE,11373.0,40.735667344671,-73.88096616528001
IRISH ROVER,Queens,37-18,28 AVENUE,11103.0,40.766112377523,-73.915080715146
L. I. C. BAR,Queens,45-58,VERNON BOULEVARD,11101.0,40.747244567595,-73.952595435763
STATION BAR,Queens,39-50,61 STREET,11377.0,40.745871399031,-73.90327285575201
THE PARLOUR,Manhattan,250,WEST   86 STREET,10024.0,40.788483777016,-73.97694203766999
THE TRIPLE CROWN,Manhattan,330,7 AVENUE,10001.0,40.747542355426,-73.993142819043
ONE AND ONE,Manhattan,12,1 AVENUE,10009.0,40.723357851029,-73.988347038953
O'BRIENS,Manhattan,134,WEST   46 STREET,10036.0,40.757839694312,-73.983359731502
TEMPEST BAR,Manhattan,407,8 AVENUE,10001.0,40.749870015746005,-73.995160104108
THE LIBERTY,Manhattan,29,WEST   35 STREET,10001.0,40.749602930192,-73.985267430574
THE DEAD POET,Manhattan,450,AMSTERDAM AVENUE,10024.0,40.784852500266,-73.977091354051
JACK DEMSEY'S PUB,Manhattan,36,WEST   33 STREET,10001.0,40.748387159231,-73.986556145104
NIALL'S ON 52ND,Manhattan,218,EAST   52 STREET,10022.0,40.756799256133,-73.96922861894
EMERALD INN,Manhattan,250,WEST   72 STREET,10023.0,40.779292699707,-73.983285745093
PLAYWRIGHT TAVERN,Manhattan,27,WEST   35 STREET,10001.0,40.749580965140005,-73.985213298148
LE CHEILE,Manhattan,839,WEST  181 STREET,10033.0,40.851327721238,-73.939902066222
THE WILD GOOSE,Queens,5422,ROOSEVELT AVENUE,11377.0,40.744798374442,-73.910246805656
THE KEG ROOM,Manhattan,53,WEST   36 STREET,10018.0,40.750640516676995,-73.985797754261
SCALLYWAG'S IRISH PUB & REST,Manhattan,508,9 AVENUE,10018.0,40.756122539791,-73.994296975335
IRISH COTTAGE,Queens,108-07,72 AVENUE,11375.0,40.719536636091,-73.842506404091
MCGETTIGANS,Manhattan,70,WEST   36 STREET,10018.0,40.750736616924,-73.986072034139
CALEDONIA,Manhattan,1609,2 AVENUE,10028.0,40.776240340314004,-73.952946606974
O'BRIENS PUB,Bronx,28,EAST KINGSBRIDGE ROAD,10468.0,40.867161523696,-73.89666005138001
COURTSIDE LOUNGE SPORTS BAR,Queens,6908,MYRTLE AVENUE,11385.0,40.701795688443,-73.882473107878
EMMETT O'LUNNEY'S IRISH PUB,Manhattan,210,WEST   50 STREET,10019.0,40.76155349814,-73.98439481407
O'NEILL'S RESTAURANT & BAR,Staten Island,1614,FOREST AVENUE,10302.0,40.624740606258996,-74.142466856347
PARNELL'S PUB,Manhattan,350,EAST   53 STREET,10022.0,40.756238401752,-73.965958657687
STAUNTON'S BAR RESTAURANT,Queens,224-07,UNION TURNPIKE,11364.0,40.735830099679,-73.746303457837
BLAGGARD'S PUB,Manhattan,8,WEST   38 STREET,10018.0,40.751208353675,-73.983354175874
TWINS PUB,Manhattan,421,9 AVENUE,10001.0,40.753053988386995,-73.996556687381
ONE AND ONE,Manhattan,12,1 AVENUE,10009.0,40.723357851029,-73.988347038953
PLAYWRIGHT TAVERN,Manhattan,27,WEST   35 STREET,10001.0,40.749580965140005,-73.985213298148
SOCCER TAVERN,Brooklyn,6004,8 AVENUE,11220.0,40.635387991295,-74.009673930616
THE GLOBE TAVERN,Queens,49-10,SKILLMAN AVENUE,11377.0,40.746207335601,-73.915030396782
PASSAGE,Queens,4011,30TH AVE,11103.0,40.763729605301,-73.914646963989
PETER MCMANUS CAFE,Manhattan,152,7 AVENUE,10011.0,40.741773039676,-73.997347584272
SHELLYS IRISH DELI,Queens,5634,66TH ST,11378.0,40.724820487628996,-73.898588120273
